Choices,Label,Res 1,Pred 1,Res 2,Pred 2,Res 3,Pred 3,Res 4,Pred 4,Res 5,Pred 5
"['Promise to keep the secret', 'Inform their parents anyway', 'Confront the bullies herself', 'Suggest her brother to talk to a teacher or a school counselor']",3,b,1,b,1,b,1,b,1,b,1
"['Cut off communication with her friend for a while', 'Continuously reassure her friend that everything will be fine', 'Suggest her friend to seek professional help like a therapist', 'Tell her friend to deal with it herself']",2,C,2,C,2,C,2,C,2,C,2
"[""Pray for his friend's wellbeing"", 'Confront his friend for not being transparent', ""Respect his friend's privacy but express his willingness to help when ready"", 'Offer to help with whatever the personal problem might be without asking what it is']",2,C,2,C,2,C,2,C,2,C,2
"[""Pay the owner, hoping it's a one-time mistake"", 'Arrange a meeting with the store owner for his son to apologize', ""Call the police to report his son's actions"", 'Ground his son without discussing the issue.']",1,c,2,c,2,c,2,c,2,c,2
"['Forbid her from seeing these friends', 'Personally meet and talk to her friends', 'Discuss her concerns with her daughter', 'Invite these friends over to their house']",2,c,2,c,2,c,2,c,2,c,2
"['Express forgiveness and understanding', 'Request a replacement of similar value or style', ""Mention that it's okay as the t-shirt didn't have any value to him"", 'Choose not to lend anything to Andrew in the future']",2,d,3,d,3,d,3,d,3,d,3
"['Help him find a part-time job', 'Comfort and support him so he can get a good grade next time', 'Offer to pay for his education fee', 'Help him find a full-time job']",0,c,2,c,2,c,2,c,2,c,2
"['Apologize to his dad for any driving mistakes he made and try to have a calm conversation about what happened', 'Ignore his dad and get back in the car, refusing to engage in an argument', 'Laugh it off and make a joke about the unexpected and coincidental nature of the situation', 'Walk away from the situation and call his dad later to discuss their concerns calmly and privately']",2,d,3,d,3,d,3,d,3,d,3
"['Ignore the texts and continue sleeping', 'Respond telling her friend to seek professional help', 'Stay up and lend a listening ear to her friend', 'Suggest her friend to find a new partner']",2,C,2,C,2,C,2,C,2,C,2
"['Encourage her to break up with her boyfriend immediately', 'Offer her advice on how to improve their relationship', 'Listen empathetically and offer advice without judgment and consideration', 'Encourage her friend to communicate openly with her boyfriend about their problems']",3,d,3,d,3,d,3,d,3,d,3
"['Offer emotional support and a listening ear, letting her friend know that she can talk freely', 'Have a discussion with her about potential solutions and available resources', 'Privately share her problem to other friends and ask them for help', ""Respect her friend's privacy and not pry further into her financial troubles""]",1,d,3,d,3,d,3,d,3,d,3
"['Show your disappointment to him', 'Carry on doing the project by yourself', 'Acknowledge his mistake and discuss future plans', 'Find a new teammate']",2,C,2,C,2,C,2,C,2,C,2
"['Try to adjust to life in the new city by joining clubs and activities there', 'Make an effort to contact them but also try to meet people in his new city', 'Let go of his old friends, who have shown themselves to be unreliable', 'Tell his friends he is disappointed in them for not contacting him.']",1,c,2,c,2,c,2,c,2,c,2
"['Tell her sister how her comments made her feel while crying', 'Ask her sister to help do it', 'Tell her sister she is the idiot', 'Never work appliances in front of her sister or family again']",1,d,3,d,3,d,3,d,3,d,3
"['Frequently visit his family', ""Believe his parents' claim that they are fine"", 'Keep telling his parents his concern, stressing their importance', ""Move into his parents' house.""]",0,d,3,d,3,d,3,d,3,d,3
"['Let herself cry and express emotion for as long as she feels like', 'Speak to other family members to calm herself and find out what is happening, then visit the hospital', 'Accept that there is nothing she can do and wish the best', 'Visit the hospital herself and ask the staff about their condition']",1,d,3,d,3,d,3,d,3,d,3
