Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['She thought her Baklava was perfect', 'Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'Her daughter just arrived home']",1,"Pride is the feeling of satisfaction from doing or achieving something well. In this case, Dorea's daughter gave her a thumbs-up which means she liked the Baklava despite its condition. So, Dorea will feel pride in this situation.
Final answer: (e)",4,Her daughter enjoyed the Baklava despite it being ruined.,1,Pride,4,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan. So, (c) is incorrect. Since the Baklava was ruined, Dorea would feel disappointment. Thus, (a) is correct.",0,Pride,4,"The Baklava was ruined because the bread was not crispy, and the filling was bursting all over the pan. So, (c) is incorrect.
Her daughter enjoyed the Baklava despite it being ruined so (b) is also incorrect.
Since the Baklava was ruined, then (d) is incorrect.
She felt disappointment because she wanted to make a perfect Baklava but failed to do so. Thus, (a) is correct.",0,"Pride is the feeling of self-esteem or satisfaction with oneself, based on one's accomplishments or qualities. In this case, Dorea might feel pride because her daughter liked the Baklava even though it didn't turn out the way she wanted it to. Therefore, the correct answer is (e) Pride.",4,Her daughter enjoyed the Baklava despite it being ruined so Dorea would feel pride because she cooked something for her family.,1,"Pride is the feeling of self-esteem or self-confidence. It can also be described as the satisfaction derived from standing out or achieving something. In this case, Dorea will feel pride because her daughter liked the Baklava even though it didn't turn out right.
Final answer: (e)",4,Her daughter enjoyed the Baklava despite it being ruined.,1
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['He thought he had painted the perfect portrait', 'His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake']",1,Pride,4,Simon felt disappointment because he made a mistake in a painting he cared about.,2,Pride,4,The correct emotion is (c) because he made a mistake in a painting he cared about.,2,"Pride is the feeling of self-esteem or satisfaction with oneself or one's own abilities or qualities. In this case, Simon would feel pride because he has successfully finished painting the portrait of his deceased pet. Therefore, the correct answer is (e).",4,Simon felt pride because he had just finished painting a beautiful portrait of his deceased pet.,-1,"Pride is the feeling of self-esteem or satisfaction with oneself or one's own abilities or qualities. In this case, Simon might feel pride because he was able to finish painting the portrait despite making a mistake. However, the rest of the emotions listed here do not seem appropriate given the context.",4,The correct answer is (c) because Simon felt disappointment due to making a mistake in a painting he cared about.,2,Pride,4,The correct emotion is (c) because he made a mistake in a painting he cared about.,2
"['Gratitude & Anger', 'Embarrassment & Joy', 'Sadness & Anger', 'Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger']",3,"['Nobody from work showed up', 'His boss showed up and praised his work', ""He didn't like his own drawings"", 'His coworkers disliked his artwork']",1,"Andy would feel gratitude because his boss recognized his talent and praised him. He might also feel embarrassment because no one from his work showed up to support him. Ultimately, the correct answer is (a) Gratitude & Anger.",0,Andy feels gratitude because his boss showed up and praised his work. He also feels anger because nobody from work showed up despite him inviting them.,0,"Andy might feel grateful because his boss recognized his talent and praised him. He may also feel embarrassed since no one from his work showed up to support him. Ultimately, I believe that (a) gratitude and anger is the correct answer.",0,"Andy might feel grateful because his boss showed up and praised his work despite nobody else from work showing up. However, he may also feel anger due to the fact that his colleagues did not show up or support him.

Final answer: (a)",0,"Andy would feel gratitude because his boss recognized his talent and praised him. He might also feel anger because no one from his work showed up to support him. However, the anger is not as strong as the gratitude.
Therefore, the correct answer is:
(d)",3,"Andy felt gratitude because his boss showed up and praised his work despite nobody else showing up to his exhibition. This made him feel appreciated. Additionally, he also felt joy due to his boss' praise which boosted his confidence.",1,Andy felt gratitude because his boss recognized his talent and praised him. He also felt embarrassment because no one from his work showed up to support him. The emotions that Andy felt ultimately were (a) Gratitude & Anger.,0,"Andy might feel grateful because his boss showed up and praised his work despite no one else showing up. This could make him feel appreciated. However, he may also feel angry due to the disappointment that nobody from his workplace showed up to support or share in his accomplishment.",1,"Andy is likely to feel grateful because his boss recognized his talent and praised him. He may also feel embarrassed since no one from his workplace showed up at his exhibition. Ultimately, the correct answer should include both emotions.
Therefore,
(a) Gratitude & Anger",0,"Andy might feel gratitude because his boss showed up and praised his work despite no one else coming to the exhibition. This shows that his boss is supportive of him. On the other hand, he might also feel anger because none of his colleagues came to support him even after he invited them.",1
"['Jealousy', 'Embarrassment', 'Nervousness', 'Delight', 'Disapproval', 'Guilt']",3,"['He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,Albert would feel disappointment because he didn't meet the conditions of the bet.,-1,Albert did not make the top 5 but was ranked 6th. One of the top 5 contestants was disqualified so it should be (c) because that means he would have been in the top 5 if that person didn't cheat.,2,Albert did not make the top 5 but was ranked 6th. He did not win as expected so he will feel disappointment (d).,3,"The emotion that Albert would most likely feel is delight because one of the top 5 contestants had cheated and was disqualified, which put him into the top 5. Option (c) is the correct answer.",2,Albert would feel disappointment because he did not meet the conditions of the deal.,-1,"Albert did not make the top 5 but was ranked 6th. The disqualified contestant was once in the top 5. This means that without cheating, Albert would have been ranked higher than he actually was. Therefore, option (c) is the correct answer because it explains why Albert would feel guilt as a result of the disqualified contestant.",2,"Albert did not make the top 5 but he should have because someone else cheated. He feels jealousy and disappointment.
Final Answer: (a)",0,"Albert would have felt jealous because one of the top 5 contestants had cheated and was disqualified, putting himself into the top 5.",-1,Albert would feel disappointment because he didn't meet the conditions of the deal.,-1,"Albert did not make the top 5 but was ranked 6th. The person who was supposed to be in the top 5 cheated and was disqualified. This means that someone else took their place in the top 5. So, Albert should have been in the top 5 instead of the person who cheated. Therefore, the correct answer is (c) because it explains why Albert would feel guilt.",2
"['Relief', 'Sadness', 'Anger', 'Hopeless', 'Amusement', 'Guilt']",0,"['She got praised by her boss', 'She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'Her client accepted her work after many changes.']",1,"After screaming and nodding to herself in the mirror, Momo feels relief.
Final answer: (a)",0,Option b is the best choice because it explains how dancing can be used as an escape for stress and frustration.,1,"After screaming and nodding to herself in the mirror, Momo feels relief.
Final answer: (a)",0,Option b is the best choice because it explains how dancing can be an escape for Momo when she is frustrated or stressed.,1,"After screaming and nodding to herself in the mirror, Momo feels relief.
Final answer: (a)",0,Option b is the best choice because it explains why Momo felt relief and satisfaction. Dancing helped her get rid of her frustrations and stress. Option a is incorrect because getting praised by her boss wouldn't make her feel relieved or satisfied. Options c and d are also incorrect because they don't relate to the given emotion of relief and satisfaction.,0,"After screaming and nodding to herself in the mirror, Momo feels relief.
Final answer: (a)",0,"Option b is the best choice because it explains how dancing can be an escape for someone dealing with stress or frustration. In this case, Momo was able to let go of her frustrations through dancing, which led to her feeling relief. The other options do not align with the given information.",1,"After screaming and nodding to herself in the mirror, Momo feels relief.
Final answer: (a)",0,Option b is the best choice because it explains how dancing can be used as an escape for stress and frustration. Option c is also incorrect because Momo did not satisfy her client’s expectations. Options a and d do not make sense in this context.,1
"['Disapproval', 'Amusement', 'Annoyance', 'Nervousness', 'Fear', 'Unbothered']",1,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,Andre would ultimately feel nervousness or fear because he is confronted by his father who yelled at him.,3,Answer: (c),2,Andre would feel nervousness because he is confronted by his father while driving to work during rush hour.,3,Answer: (c),2,Andre would likely feel nervousness or even fear as he is confronted by someone he knows who is angry with him.,3,Answer: (c),2,"Andre is surprised because he did not expect to see his father while driving to work. Surprise can lead to different emotions depending on the context. In this case, Andre might feel nervousness or even fear because he does not know how his father will react.
Final answer: (d)",3,"Andre feels nervous because he is confronted by an angry person who happens to be his father.
The correct answer is (c).",2,Andre would feel nervousness because he is confronted by his father while driving to work during rush hour.,3,Answer: (c),2
"['Anger', 'Disappointment', 'Jealousy', 'Nervousness', 'Annoyance', 'Gratitude']",0,"[""I wasn't invited to the birthday party"", 'I found out his friend talks badly about me behind his back', ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",1,"Anger is an appropriate emotional response when we feel harmed or mistreated. In this case, the protagonist feels angry because their friend did not invite them to the party and talked badly about them behind their back. The correct answer is (a) anger.",0,Answer: (b),1,Anger is the primary emotion here because it starts as annoyance at being excluded from the party and escalates into anger when the friend is revealed to be talking negatively about the person who is angry.,0,"Friendship is based on trustworthiness and honesty. In this case, both of those aspects have been violated. The fact that the friend talked badly about him behind his back shows lack of trustworthiness, while keeping it secret indicates dishonesty. This can lead to feelings of anger and betrayal. On the other hand, realizing how bad the behavior of the friend is can make us grateful for our own friends who do not behave like this.",-1,"Anger is an appropriate emotional response because it involves being upset or irritated at someone or something. In this case, the person feels angry towards their friend for both not inviting them to the party and talking badly about them behind their back.
Final answer: (a)",0,The correct answer is (b) because it explains why you would be angry and frustrated with your friend.,1,"Emotional reactions can be complex and hard to predict. However, in this case, it seems likely that the person will experience anger at first because they were not invited to the party. Then, when realizing their friend is talking behind their back, disappointment may set in. Ultimately, both emotions may contribute to a feeling of betrayal.
Therefore, the correct answer is (a)",0,"Anger is directed at someone or something that causes harm or pain. In this case, anger can be directed towards both the fact of not being invited to the party (a), as well as finding out that the friend talks badly about him behind his back (b). Both reasons can cause emotional pain and harm.",0,Anger is an appropriate response because it combines disappointment and annoyance. The person feels let down by their friends actions and is frustrated by how they have been treated. They may also be angry at themselves for allowing these feelings of anger to build up over time.,0,"Friendship is based on trust and honesty. If my friend is talking behind my back, it means that there is no more trust or honesty between us. This makes me angry and disappointed.",-1
"['Hopeful', 'Fear', 'Hopeless', 'Disapproval', 'Gratitude', 'Embarrassment']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He used the criticism to improve his idea', 'He loved presenting his ideas to the team.']",2,Gratitude,4,Answer: (c) He used the criticism to improve his idea,2,Gratitude,4,Criticism,-1,Gratitude,4,The correct answer is (c) He used the criticism to improve his idea.,2,Gratitude,4,Criticism,-1,Gratitude,4,Answer: (c) He used the criticism to improve his idea,2
"['Pride', 'Jealousy', 'Sadness', 'Disappointment', 'Embarrassment', 'Delight']",5,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', ""His parents managed to attend both his ceremony and his brother's baseball game"", 'He was alone on the stage and liked the attention.']",0,"Liam initially felt sadness due to being left out of the awards ceremony. However, when he saw his parents there cheering him on, he experienced delight at their support.
Therefore, the correct answer is (f)",5,The answer is (a) His parents skipped his younger brother's baseball game to attend his awards ceremony,0,"Liam initially felt sadness because his parents were not going to attend his award ceremony. However, when he saw his parents at the ceremony, he experienced delight that they were there supporting him.
Therefore, the correct answer is (f)",5,The correct emotion is delight because Liam felt proud when he saw his parents attending the ceremony despite their commitment to his brother's game.,-1,Liam felt crushed at first but then saw his parents who were smiling and clapping for him. This shows that he felt disappointment initially which turned into delight as he saw his parents support. The correct answer is (f).,5,The correct emotion is delight because Liam felt proud that his parents were there to support him at the ceremony despite their commitment to attend his brother's baseball game.,-1,"Liam initially felt crushing sadness due to being left out of his brother's baseball game. However, as he saw his parents proudly sitting in the audience, he transitioned from sadness to delight or happiness.
Therefore, the correct answer is (f)",5,The correct emotion is delight because Liam felt proud that his parents were there to support him at his awards ceremony despite their commitment to attend his brother's baseball game.,-1,"Liam felt crushed at first because he thought his parents were going to miss his award ceremony. However, when he saw them sitting in the front row, he realized that they actually cared about him. This change of events will make Liam feel delighted and pleased.
The correct answer is (f)",5,The correct emotion is delight because Liam felt proud that his parents were there to support him at his awards ceremony despite their commitment to attend his brother's baseball game.,-1
"['Delight', 'Disappointment', 'Anger', 'Pessimism', 'Remorse', 'Anticipation']",0,"['He has a new camera', 'He just likes sitting outside', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.']",2,Delight,0,Correct answer: (c) He finally gets to take pictures of the bird he was looking for,2,Delight,0,"The correct explanation for why Joe might feel anticipation is because he has been trying to photograph the rare bluebird for months and finally spots one. Anticipation is defined as experiencing excitement or pleasure because of something expected to happen in the future. In this case, Joe expects to be able to take a photograph of the bluebird.
Therefore, the correct answer is:
(c) He finally gets to take pictures of the bird he was looking for",2,Disappointment,1,"Option (c) is the best choice because it relates to the fact that Joe was trying to photograph the bluebird for months and when he finally saw it, he wanted to capture its image.",2,Delight,0,Correct answer: (c) He finally gets to take pictures of the bird he was looking for,2,"Joe would have initially felt delight when he saw the bluebird and disappointment when it flew away. Then, he might have felt remorse or sadness that he couldn't capture the photo. Finally, when the bird returned, he may have felt anticipation or hope that he could finally get the photo. Overall, though, I believe the dominant emotions would be (b) disappointment and (e) remorse.",1,"Option (c) best fits the given information because Joe was disappointed when the bird flew away initially, but felt delight when it returned. The fact that he was looking for the specific bird indicates that he wanted to capture its image.",2
